年,月,地域区分,データ区分,都道府県コード,都道府県名,地域コード,地域名称,人数
2023,4,市区町村,観光来訪者数,18,福井県,18501,若狭町,36507
2023,5,市区町村,観光来訪者数,18,福井県,18201,福井市,111079
2023,5,市区町村,観光来訪者数,18,福井県,18202,敦賀市,66089
2023,5,市区町村,観光来訪者数,18,福井県,18204,小浜市,56572
2023,5,市区町村,観光来訪者数,18,福井県,18205,大野市,39164
2023,5,市区町村,観光来訪者数,18,福井県,18206,勝山市,50185
2023,5,市区町村,観光来訪者数,18,福井県,18207,鯖江市,51187
2023,5,市区町村,観光来訪者数,18,福井県,18208,あわら市,47845
2023,5,市区町村,観光来訪者数,18,福井県,18209,越前市,83921
2023,5,市区町村,観光来訪者数,18,福井県,18210,坂井市,171026
2023,5,市区町村,観光来訪者数,18,福井県,18322,永平寺町,72832
2023,5,市区町村,観光来訪者数,18,福井県,18382,池田町,6969
2023,5,市区町村,観光来訪者数,18,福井県,18404,南越前町,22912
2023,5,市区町村,観光来訪者数,18,福井県,18423,越前町,43468
2023,5,市区町村,観光来訪者数,18,福井県,18442,美浜町,10818
2023,5,市区町村,観光来訪者数,18,福井県,18481,高浜町,31330
2023,5,市区町村,観光来訪者数,18,福井県,18483,おおい町,45916
2023,5,市区町村,観光来訪者数,18,福井県,18501,若狭町,73733
2023,6,市区町村,観光来訪者数,18,福井県,18201,福井市,95516
2023,6,市区町村,観光来訪者数,18,福井県,18202,敦賀市,41181
2023,6,市区町村,観光来訪者数,18,福井県,18204,小浜市,32158
2023,6,市区町村,観光来訪者数,18,福井県,18205,大野市,24037
2023,6,市区町村,観光来訪者数,18,福井県,18206,勝山市,27126
2023,6,市区町村,観光来訪者数,18,福井県,18207,鯖江市,13458
2023,6,市区町村,観光来訪者数,18,福井県,18208,あわら市,31560
2023,6,市区町村,観光来訪者数,18,福井県,18209,越前市,36546
2023,6,市区町村,観光来訪者数,18,福井県,18210,坂井市,106902
2023,6,市区町村,観光来訪者数,18,福井県,18322,永平寺町,44618
2023,6,市区町村,観光来訪者数,18,福井県,18382,池田町,3591
2023,6,市区町村,観光来訪者数,18,福井県,18404,南越前町,15753
2023,6,市区町村,観光来訪者数,18,福井県,18423,越前町,23750
2023,6,市区町村,観光来訪者数,18,福井県,18442,美浜町,8942
2023,6,市区町村,観光来訪者数,18,福井県,18481,高浜町,21128
2023,6,市区町村,観光来訪者数,18,福井県,18483,おおい町,25843
2023,6,市区町村,観光来訪者数,18,福井県,18501,若狭町,53289
2023,7,市区町村,観光来訪者数,18,福井県,18201,福井市,96135
2023,7,市区町村,観光来訪者数,18,福井県,18202,敦賀市,62033
2023,7,市区町村,観光来訪者数,18,福井県,18204,小浜市,39024
2023,7,市区町村,観光来訪者数,18,福井県,18205,大野市,31242
2023,7,市区町村,観光来訪者数,18,福井県,18206,勝山市,99746
2023,7,市区町村,観光来訪者数,18,福井県,18207,鯖江市,15016
2023,7,市区町村,観光来訪者数,18,福井県,18208,あわら市,30008
2023,7,市区町村,観光来訪者数,18,福井県,18209,越前市,29509
2023,7,市区町村,観光来訪者数,18,福井県,18210,坂井市,135741
2023,7,市区町村,観光来訪者数,18,福井県,18322,永平寺町,41547
2023,7,市区町村,観光来訪者数,18,福井県,18382,池田町,3811
2023,7,市区町村,観光来訪者数,18,福井県,18404,南越前町,20522
2023,7,市区町村,観光来訪者数,18,福井県,18423,越前町,31057
2023,7,市区町村,観光来訪者数,18,福井県,18442,美浜町,17487
2023,7,市区町村,観光来訪者数,18,福井県,18481,高浜町,53460
2023,7,市区町村,観光来訪者数,18,福井県,18483,おおい町,39981
2023,7,市区町村,観光来訪者数,18,福井県,18501,若狭町,67138
2023,8,市区町村,観光来訪者数,18,福井県,18201,福井市,109267
2023,8,市区町村,観光来訪者数,18,福井県,18202,敦賀市,61363
2023,8,市区町村,観光来訪者数,18,福井県,18204,小浜市,46671
2023,8,市区町村,観光来訪者数,18,福井県,18205,大野市,44258
2023,8,市区町村,観光来訪者数,18,福井県,18206,勝山市,193309
2023,8,市区町村,観光来訪者数,18,福井県,18207,鯖江市,18468
2023,8,市区町村,観光来訪者数,18,福井県,18208,あわら市,36318
2023,8,市区町村,観光来訪者数,18,福井県,18209,越前市,23217
2023,8,市区町村,観光来訪者数,18,福井県,18210,坂井市,242945
2023,8,市区町村,観光来訪者数,18,福井県,18322,永平寺町,53334
2023,8,市区町村,観光来訪者数,18,福井県,18382,池田町,6987
2023,8,市区町村,観光来訪者数,18,福井県,18404,南越前町,20723
2023,8,市区町村,観光来訪者数,18,福井県,18423,越前町,36548
2023,8,市区町村,観光来訪者数,18,福井県,18442,美浜町,16808
2023,8,市区町村,観光来訪者数,18,福井県,18481,高浜町,56120
2023,8,市区町村,観光来訪者数,18,福井県,18483,おおい町,42259
2023,8,市区町村,観光来訪者数,18,福井県,18501,若狭町,61124
2023,9,市区町村,観光来訪者数,18,福井県,18201,福井市,103977
2023,9,市区町村,観光来訪者数,18,福井県,18202,敦賀市,55975
2023,9,市区町村,観光来訪者数,18,福井県,18204,小浜市,41555
2023,9,市区町村,観光来訪者数,18,福井県,18205,大野市,33565
2023,9,市区町村,観光来訪者数,18,福井県,18206,勝山市,99972
2023,9,市区町村,観光来訪者数,18,福井県,18207,鯖江市,18513
2023,9,市区町村,観光来訪者数,18,福井県,18208,あわら市,68014
2023,9,市区町村,観光来訪者数,18,福井県,18209,越前市,34998
2023,9,市区町村,観光来訪者数,18,福井県,18210,坂井市,114893
2023,9,市区町村,観光来訪者数,18,福井県,18322,永平寺町,51441
2023,9,市区町村,観光来訪者数,18,福井県,18382,池田町,3136
2023,9,市区町村,観光来訪者数,18,福井県,18404,南越前町,15970
2023,9,市区町村,観光来訪者数,18,福井県,18423,越前町,28639
2023,9,市区町村,観光来訪者数,18,福井県,18442,美浜町,8619
2023,9,市区町村,観光来訪者数,18,福井県,18481,高浜町,28998
2023,9,市区町村,観光来訪者数,18,福井県,18483,おおい町,35168
2023,9,市区町村,観光来訪者数,18,福井県,18501,若狭町,53863
2023,10,市区町村,観光来訪者数,18,福井県,18201,福井市,112120
2023,10,市区町村,観光来訪者数,18,福井県,18202,敦賀市,50029
2023,10,市区町村,観光来訪者数,18,福井県,18204,小浜市,39227
2023,10,市区町村,観光来訪者数,18,福井県,18205,大野市,41626
2023,10,市区町村,観光来訪者数,18,福井県,18206,勝山市,111485
2023,10,市区町村,観光来訪者数,18,福井県,18207,鯖江市,21224
2023,10,市区町村,観光来訪者数,18,福井県,18208,あわら市,47968
2023,10,市区町村,観光来訪者数,18,福井県,18209,越前市,60548
2023,10,市区町村,観光来訪者数,18,福井県,18210,坂井市,124157
2023,10,市区町村,観光来訪者数,18,福井県,18322,永平寺町,70159
2023,10,市区町村,観光来訪者数,18,福井県,18382,池田町,2449
2023,10,市区町村,観光来訪者数,18,福井県,18404,南越前町,15577
2023,10,市区町村,観光来訪者数,18,福井県,18423,越前町,30762
2023,10,市区町村,観光来訪者数,18,福井県,18442,美浜町,10022
2023,10,市区町村,観光来訪者数,18,福井県,18481,高浜町,29827
2023,10,市区町村,観光来訪者数,18,福井県,18483,おおい町,30002
2023,10,市区町村,観光来訪者数,18,福井県,18501,若狭町,52836
2023,11,市区町村,観光来訪者数,18,福井県,18201,福井市,126077
2023,11,市区町村,観光来訪者数,18,福井県,18202,敦賀市,55209
2023,11,市区町村,観光来訪者数,18,福井県,18204,小浜市,37923
2023,11,市区町村,観光来訪者数,18,福井県,18205,大野市,42782
2023,11,市区町村,観光来訪者数,18,福井県,18206,勝山市,120143
2023,11,市区町村,観光来訪者数,18,福井県,18207,鯖江市,23759
2023,11,市区町村,観光来訪者数,18,福井県,18208,あわら市,31730
2023,11,市区町村,観光来訪者数,18,福井県,18209,越前市,63406
2023,11,市区町村,観光来訪者数,18,福井県,18210,坂井市,120702
2023,11,市区町村,観光来訪者数,18,福井県,18322,永平寺町,78417
2023,11,市区町村,観光来訪者数,18,福井県,18382,池田町,4592
2023,11,市区町村,観光来訪者数,18,福井県,18404,南越前町,17040
2023,11,市区町村,観光来訪者数,18,福井県,18423,越前町,53519
2023,11,市区町村,観光来訪者数,18,福井県,18442,美浜町,11618
2023,11,市区町村,観光来訪者数,18,福井県,18481,高浜町,29230
2023,11,市区町村,観光来訪者数,18,福井県,18483,おおい町,30097
2023,11,市区町村,観光来訪者数,18,福井県,18501,若狭町,52270
2023,12,市区町村,観光来訪者数,18,福井県,18201,福井市,63654
2023,12,市区町村,観光来訪者数,18,福井県,18202,敦賀市,52504
2023,12,市区町村,観光来訪者数,18,福井県,18204,小浜市,19585
2023,12,市区町村,観光来訪者数,18,福井県,18205,大野市,15124
